Timestamp,Temperature (C),Battery Voltage (mV),Min Droop Voltage (mV),Time Elapsed (hours),Droop (mV)
946691546,24,3140,3079,0.0,61
946695147,24,2986,2922,1.0002777777777778,64
946698748,24,2961,2895,2.0005555555555556,66
946702349,24,2952,2886,3.0008333333333335,66
946705950,24,2942,2886,4.001111111111111,56
946709551,24,2956,2885,5.001388888888889,71
946713152,24,2953,2889,6.001666666666667,64
946716753,24,2942,2884,7.001944444444445,58
946720353,24,2953,2892,8.001944444444444,61
946723954,24,2949,2886,9.002222222222223,63
946727555,24,2948,2885,10.0025,63
946731156,24,2956,2882,11.002777777777778,74
946734757,24,2952,2885,12.003055555555555,67
946738358,23,2947,2884,13.003333333333334,63
946741959,23,2953,2883,14.00361111111111,70
946745560,23,2952,2881,15.00388888888889,71
946749160,23,2946,2880,16.003888888888888,66
946752761,23,2944,2885,17.004166666666666,59
946756362,23,2942,2886,18.004444444444445,56
946759963,23,2941,2876,19.004722222222224,65
946763564,23,2944,2879,20.005,65
946767165,24,2943,2882,21.005277777777778,61
946770766,24,2952,2886,22.005555555555556,66
946774367,24,2942,2888,23.00583333333333,54
946777967,24,2952,2891,24.00583333333333,61
946781568,24,2943,2886,25.00611111111111,57
946785169,24,2949,2886,26.00638888888889,63
946788770,24,2947,2886,27.006666666666668,61
946792371,24,2949,2891,28.006944444444443,58
946795972,24,2946,2889,29.00722222222222,57
946799573,24,2946,2886,30.0075,60
946803174,24,2942,2888,31.00777777777778,54
946806774,24,2949,2889,32.007777777777775,60
946810375,24,2955,2886,33.00805555555556,69
946813976,24,2950,2891,34.00833333333333,59
946817577,24,2949,2886,35.00861111111111,63
946821178,24,2947,2891,36.00888888888889,56
946824779,24,2944,2888,37.009166666666665,56
946828380,24,2947,2893,38.00944444444445,54
946831981,24,2947,2886,39.00972222222222,61
946835581,24,2940,2888,40.00972222222222,52
946839182,24,2948,2886,41.01,62
946842783,24,2942,2882,42.01027777777778,60
946846384,24,2952,2888,43.010555555555555,64
946849985,24,2921,1925,44.01083333333333,996
946853586,24,2893,1925,45.01111111111111,968
946857187,24,2891,1886,46.01138888888889,1005
946860788,24,2888,1854,47.01166666666666,1034
946864389,24,2884,1794,48.011944444444445,1090
946867990,24,2868,1749,49.01222222222222,1119
946871590,24,2879,1997,50.01222222222222,882
946875191,24,2858,1909,51.0125,949
946878792,24,2851,1885,52.01277777777778,966
946882393,24,2839,1848,53.01305555555555,991
946885994,24,2826,1791,54.013333333333335,1035
946889595,24,2812,1735,55.01361111111111,1077
946893195,24,2803,1685,56.01361111111111,1118
946896796,24,2797,1465,57.013888888888886,1332
946900397,24,2781,1110,58.01416666666667,1671
946903998,24,2769,999,59.01444444444444,1770
946907599,24,2753,989,60.014722222222225,1764
946911200,24,2750,966,61.015,1784
946914801,24,2737,956,62.015277777777776,1781
946918402,24,2733,967,63.01555555555556,1766
946922002,24,2722,988,64.01555555555555,1734
946925603,24,2706,940,65.01583333333333,1766
946929204,24,2705,988,66.01611111111112,1717
946932805,24,2694,950,67.01638888888888,1744
946936406,24,2688,959,68.01666666666667,1729
946940007,24,2715,2185,69.01694444444445,530
