signal,column,N_files,SoC_point_%,slope_center_%,slope_window_lo_%,slope_window_hi_%,sigma_center_%,sigma_band_lo_%,sigma_band_hi_%,slope_mV_per_%SoC,sigma_total_mV,detectability,SoC_uncertainty_%,threshold_direction,theta_mV_pooled,TPR_train,FPR_train,theta_mV_LOOCV_median,TPR_LOOCV_mean,FPR_LOOCV_mean,LOOCV_folds
bolt,boltDroopMag_mV,14,2.0,2.0,0.0,7.0,2.0,1.0,3.0,-145.98093181505615,232.53859717437055,0.6277707597315185,1.5929381617386487,>=,611.0,1.0,0.0,611.0,0.9285714285714286,0.0,14.0
sound,soundDroopMag_mV,14,2.0,2.0,0.0,7.0,2.0,1.0,3.0,-113.56611656157371,182.16362279578618,0.623429172183771,1.6040314515555352,>=,213.0,1.0,0.6428571428571429,213.0,0.9285714285714286,0.6428571428571429,14.0
relaxed,batt_mV,14,2.0,2.0,0.0,7.0,2.0,1.0,3.0,44.49837158607747,295.7026895144523,0.15048348616356647,6.645247432087402,<=,2647.3333333333335,1.0,0.2857142857142857,2647.3333333333335,0.9285714285714286,0.2857142857142857,14.0
bolt,boltDroopMag_mV,14,3.0,3.0,0.0,8.0,3.0,2.0,4.0,-131.2331399341699,208.29561416785248,0.6300331404405726,1.5872180934811069,>=,470.0,1.0,0.0,470.0,0.9285714285714286,0.0,14.0
sound,soundDroopMag_mV,14,3.0,3.0,0.0,8.0,3.0,2.0,4.0,-98.23625811945847,164.05338033552246,0.5988066684060114,1.6699880825675204,>=,223.0,1.0,0.42857142857142855,223.0,0.9285714285714286,0.42857142857142855,14.0
relaxed,batt_mV,14,3.0,3.0,0.0,8.0,3.0,2.0,4.0,44.215895417863464,296.54253175214706,0.14910473434151264,6.706695159052286,<=,2673.0,1.0,0.42857142857142855,2673.0,0.9285714285714286,0.42857142857142855,14.0
sound,soundDroopMag_mV,14,8.0,8.0,3.0,13.0,8.0,7.0,9.0,-18.16441237292286,39.396701919070864,0.4610642893467681,2.1688949309364025,>=,175.5,1.0,0.7142857142857143,175.5,0.9285714285714286,0.7142857142857143,14.0
bolt,boltDroopMag_mV,14,8.0,8.0,3.0,13.0,8.0,7.0,9.0,-36.27919056374774,112.62502278366367,0.322123713425877,3.104397342762247,>=,312.3333333333333,1.0,0.07142857142857142,312.3333333333333,0.9285714285714286,0.07142857142857142,14.0
relaxed,batt_mV,14,8.0,8.0,3.0,13.0,8.0,7.0,9.0,29.40268793670275,103.35997824973217,0.2844687898991401,3.5153241252038763,<=,2736.3333333333335,1.0,0.42857142857142855,2736.3333333333335,0.9285714285714286,0.42857142857142855,14.0
bolt,boltDroopMag_mV,14,13.0,13.0,8.0,18.0,13.0,12.0,14.0,-12.411870527206364,38.22643160510896,0.32469341254305095,3.0798284208103865,>=,248.0,1.0,0.14285714285714285,248.0,0.9285714285714286,0.14285714285714285,14.0
relaxed,batt_mV,14,13.0,13.0,8.0,18.0,13.0,12.0,14.0,13.716280248689172,68.79192139581836,0.19938795094510822,5.015348195615398,<=,2784.6666666666665,1.0,0.42857142857142855,2784.6666666666665,0.9285714285714286,0.42857142857142855,14.0
sound,soundDroopMag_mV,14,13.0,13.0,8.0,18.0,13.0,12.0,14.0,-5.843818791837317,29.896292561341262,0.19546968172882842,5.115882888617387,>=,157.0,1.0,0.7142857142857143,157.0,0.9285714285714286,0.7142857142857143,14.0
bolt,boltDroopMag_mV,14,18.0,18.0,13.0,23.0,18.0,17.0,19.0,-6.295552862676024,31.357496430958616,0.2007670757943722,4.980896374783138,>=,214.33333333333334,1.0,0.35714285714285715,214.33333333333334,0.9285714285714286,0.35714285714285715,14.0
relaxed,batt_mV,14,18.0,18.0,13.0,23.0,18.0,17.0,19.0,10.173399812874116,53.734794254310756,0.18932611456045498,5.281891525221595,<=,2818.5,1.0,0.35714285714285715,2818.5,0.9285714285714286,0.35714285714285715,14.0
sound,soundDroopMag_mV,14,18.0,18.0,13.0,23.0,18.0,17.0,19.0,-3.743498985403995,26.510911891680554,0.14120596834614166,7.0818536334716065,>=,143.33333333333334,1.0,0.7142857142857143,143.33333333333334,0.9285714285714286,0.7142857142857143,14.0
