subfolder,file,low_batt_idx,time_at_low_batt_hours,temp_mode_C,batt_mV__value,batt_mV__d1_per_hour,batt_mV__d2_per_hour2,soundDroop_mV__value,soundDroop_mV__d1_per_hour,soundDroop_mV__d2_per_hour2,boltDroop_mV__value,boltDroop_mV__d1_per_hour,boltDroop_mV__d2_per_hour2,soundDroopMag_mV__value,soundDroopMag_mV__d1_per_hour,soundDroopMag_mV__d2_per_hour2,boltDroopMag_mV__value,boltDroopMag_mV__d1_per_hour,boltDroopMag_mV__d2_per_hour2
amazon-20c,Maven_B05_BE-3_20250821_droop255_load255_loaddur4294967295_relaxdur4294967295_boltcheckstrue.csv,100,50.10666666666667,20.0,2745.0,-15.96452328159603,11.958979211305875,2148.0,-39.91130820399121,-10.955411151930782,1297.0,-0.9977827050965971,-17.670409438162338,597.0,23.946784922395068,22.914390363235977,1448.0,-14.966740576499205,29.62938864946777
duracell-20c,Maven_B05_BE-1_20250812-20250821_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,107,53.617222222222225,20.0,2649.0,-33.92185063626084,-4.975093438473571,2027.0,-54.864509681689924,-10.945205564642144,1314.0,3.8949459795408075,-55.721046510908174,622.0,20.942659045429195,5.970112126168921,1335.0,-37.81679661580165,50.74595307243482
enegitech-20c,Maven_B05_BE-4_20250818-20250821_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,101,50.60055555555556,20.0,2608.0,-36.91796008869187,4.972610031615073,1662.0,-178.60310421286135,102.58538041915,1159.0,-69.84478935698485,-23.89341778817112,946.0,141.68514412416948,-97.6127703875348,1449.0,32.92682926829275,28.866027819786645
energizer-20c,Maven_B05_BE-2_20250812-20250821_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,96,48.111666666666665,20.0,2717.0,-14.959831872737595,3.9800747507796945,2037.0,-59.8459609493807,2.4158453015843406e-13,1051.0,-86.90301075964362,84.57658845405417,680.0,44.886129076642874,3.9800747507793375,1666.0,71.94317888690557,-80.5965137032747
level-20c,Maven_B05_BE-1_20250812_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,113,56.62833333333333,20.0,2744.0,-10.975609756097583,10.954308026915703,2064.0,-30.931263858093644,13.953980954882553,1372.0,-80.82039911307766,-46.09022135517381,680.0,19.95565410199572,-2.9996729279668486,1372.0,69.84478935698007,57.04452938208974
level-20c,Maven_B05_BE-2_20250812_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,103,51.61888888888889,20.0,2775.0,-2.996388680165637,-0.9950186876949587,2033.0,-32.910524543619886,-5.9701121261684165,1245.0,22.1430387032442,-229.8493168574749,742.0,29.914135863454135,4.975093438473007,1530.0,-25.139427383410066,228.85429816977967
level-20c,Maven_B05_BE-4_20250814_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,113,56.60777777777778,20.0,2733.0,-19.955654101995606,3.9822813063847615,2169.0,-32.92682926829275,-7.964562612769836,1444.0,-118.73614190687249,-38.82724273725313,564.0,12.97117516629703,11.946843919154821,1289.0,98.78048780487688,42.80952404363789
level-60c,Maven_B05_BE-7_20250812_droop0_load1_loaddur4_relaxdur512_boltchecksfalse.csv,137,68.62555555555555,59.0,2770.0,0.0,0.9980562595754883,2384.0,-8.985024958402391,-9.95956833339583,1976.0,246.5890183028289,-24.881793935239404,386.0,8.985024958402676,10.957624592970578,794.0,-246.589018302829,25.879850194814217
tenergy-20c,Maven_B05_BE-7_20250812_droop3_load1_loaddur900_relaxdur900_boltcheckstrue.csv,112,56.10888888888889,20.0,2703.0,-13.968957871396924,-12.942414245750754,2129.0,-43.90243902439033,-6.968992286174007,1171.0,-49.88913525498765,-26.88039881809847,574.0,29.933481152993295,-5.973421959577195,1532.0,35.920177383590726,13.937984572347489
