scope,temp_group_C,column,N,mean_value_at_low,std_value_at_low,CV_value_at_low,IQR_value_at_low,mean_abs_slope_at_low,mean_abs_curvature_at_low,mean_noise_std,mean_abs_spearman,SNR_slope
overall,,batt_mV,9,2716.0,55.49099025968089,0.020431145161885454,42.0,16.628975143215786,6.195426217610653,17.58736248948681,0.925099263229191,0.9455070453660167
overall,,boltDroopMag_mV,9,1379.4444444444443,247.6257817307757,0.1795112392732164,195.0,70.43638284213176,62.040452178625884,58.26803854657731,0.48570707506025484,1.2088339439438576
overall,,boltDroop_mV,9,1336.5555555555557,267.5402358109482,0.20017142923755374,201.0,75.5353624535863,60.93227065494838,69.60071863062304,0.621305243621903,1.0852669906248946
overall,,soundDroopMag_mV,9,643.4444444444445,151.63864209949185,0.23566703141002013,106.0,37.02446537908661,18.592222718429056,31.478659666659993,0.7857616423267932,1.1761766787770938
overall,,soundDroop_mV,9,2072.5555555555557,189.97046554077235,0.0916600112511098,115.0,53.65344052230247,18.811468161012645,48.37008851644715,0.9017853696470408,1.1092276687494347
per_temp,20.0,batt_mV,8,2709.25,55.231331687729565,0.020386207137668935,54.75,18.70759703611776,6.845097462365049,18.748837719175665,0.9228603895820421,0.9978003605516451
per_temp,20.0,boltDroopMag_mV,8,1452.625,122.4510835278433,0.08429641753917445,167.75,48.417303409544616,66.56052742660235,56.044765439092416,0.433519625521663,0.8639041136172285
per_temp,20.0,boltDroop_mV,8,1256.625,126.84178840474573,0.10093845690221484,160.5,54.153655472430984,65.438580244912,68.32373013778106,0.5798937856004585,0.7926039073573
per_temp,20.0,soundDroopMag_mV,8,675.625,125.00964248523277,0.1850281479892437,104.25,40.5293954316721,19.546547484111365,34.31009986029425,0.769815531278401,1.1812671952778313
per_temp,20.0,soundDroop_mV,8,2033.625,160.17306488384904,0.07876234059074266,102.25,59.236992467789975,19.917955639464747,52.37828702563536,0.8937781443728386,1.1309455851199903
per_temp,59.0,batt_mV,1,2770.0,,,,0.0,0.9980562595754883,8.295560651975986,0.9430102524063821,0.0
per_temp,59.0,boltDroopMag_mV,1,794.0,,,,246.589018302829,25.879850194814217,76.05422340645642,0.9032066713689898,3.242279090603343
per_temp,59.0,boltDroop_mV,1,1976.0,,,,246.5890183028289,24.881793935239404,79.81662657335889,0.9525969077934576,3.089444253525181
per_temp,59.0,soundDroopMag_mV,1,386.0,,,,8.985024958402676,10.957624592970578,8.827138117585946,0.9133305307139329,1.0178865266084574
per_temp,59.0,soundDroop_mV,1,2384.0,,,,8.985024958402391,9.95956833339583,16.30450044294144,0.9658431718406578,0.5510763724314042
